postal_code,nuts3_objectid
1000,BE10021004
1020,BE10021004
1030,BE10021015
1040,BE10021005
1050,BE10021009
1060,BE10021013
1070,BE10021001
1080,BE10021012
1081,BE10021011
1082,BE10021003
1083,BE10021008
1090,BE10021010
1120,BE10021004
1130,BE10021004
1140,BE10021006
1150,BE10021019
1160,BE10021002
1170,BE10021017
1180,BE10021016
1190,BE10021007
1200,BE10021018
1210,BE10021014
1300,BE31025112
1301,BE31025112
1310,BE31025050
1315,BE31025043
1320,BE31025005
1325,BE31025018
1330,BE31025091
1331,BE31025091
1332,BE31025091
1340,BE31025121
1341,BE31025121
1342,BE31025121
1348,BE31025121
1350,BE31025120
1357,BE31025118
1360,BE31025084
1367,BE31025122
1370,BE31025048
1380,BE31025119
1390,BE31025037
1400,BE31025072
1401,BE31025072
1402,BE31025072
1404,BE31025072
1410,BE31025110
1420,BE31025014
1421,BE31025014
1428,BE31025014
1430,BE31025123
1435,BE31025068
1440,BE31025015
1450,BE31025117
1457,BE31025124
1460,BE31025044
1461,BE31025044
1470,BE31025031
1471,BE31025031
1472,BE31025031
1473,BE31025031
1474,BE31025031
1476,BE31025031
1480,BE31025105
1490,BE31025023
1495,BE31025107
1500,BE24123027
1501,BE24123027
1502,BE24123027
1540,BE24123106
1541,BE24123106
1547,BE24123009
1560,BE24123033
1570,BE24123106
1600,BE24123077
1601,BE24123077
1602,BE24123077
1620,BE24123098
1630,BE24123100
1640,BE24123101
1650,BE24123003
1651,BE24123003
1652,BE24123003
1653,BE24123003
1654,BE24123003
1670,BE24123064
1671,BE24123064
1673,BE24123064
1674,BE24123064
1700,BE24123016
1701,BE24123016
1702,BE24123016
1703,BE24123016
1730,BE24123002
1731,BE24123002
1740,BE24123086
1741,BE24123086
1742,BE24123086
1745,BE24123060
1750,BE24123104
1755,BE24123106
1760,BE24123097
1761,BE24123097
1770,BE24123044
1780,BE24123102
1785,BE24123052
1790,BE24123105
1800,BE24123088
1820,BE24123081
1830,BE24123047
1831,BE24123047
1840,BE24123045
1850,BE24123025
1851,BE24123025
1852,BE24123025
1853,BE24123025
1860,BE24123050
1861,BE24123050
1880,BE24123039
1910,BE24123038
1930,BE24123094
1932,BE24123094
1933,BE24123094
1950,BE24123099
1970,BE24123103
1980,BE24123096
1981,BE24123096
1982,BE24123096
2000,BE21111002
2018,BE21111002
2020,BE21111002
2030,BE21111002
2040,BE21111002
2050,BE21111002
2060,BE21111002
2070,BE21146030
2100,BE21111002
2110,BE21111050
2140,BE21111002
2150,BE21111002
2160,BE21111052
2170,BE21111002
2180,BE21111002
2200,BE21313011
2220,BE21212014
2221,BE21212014
2222,BE21212014
2223,BE21212014
2230,BE21313013
2235,BE21313016
2240,BE21111054
2242,BE21111054
2243,BE21111054
2250,BE21313029
2260,BE21313049
2270,BE21313012
2275,BE21313019
2280,BE21313010
2288,BE21313010
2290,BE21313044
2300,BE21313040
2310,BE21313037
2320,BE21313014
2321,BE21313014
2322,BE21313014
2323,BE21313014
2328,BE21313014
2330,BE21313023
2340,BE21313004
2350,BE21313046
2360,BE21313031
2370,BE21313001
2380,BE21313035
2381,BE21313035
2382,BE21313035
2387,BE21313002
2390,BE21111057
2400,BE21313025
2430,BE21313053
2431,BE21313053
2440,BE21313008
2450,BE21313021
2460,BE21313017
2470,BE21313036
2480,BE21313006
2490,BE21313003
2491,BE21313003
2500,BE21212021
2520,BE21111035
2530,BE21111004
2531,BE21111004
2540,BE21111021
2547,BE21111025
2550,BE21111024
2560,BE21212026
2570,BE21212009
2580,BE21212029
2590,BE21212002
2600,BE21111002
2610,BE21111002
2620,BE21111018
2627,BE21111038
2630,BE21111001
2640,BE21111029
2650,BE21111013
2660,BE21111002
2800,BE21212025
2801,BE21212025
2811,BE21212025
2812,BE21212025
2820,BE21212005
2830,BE21212040
2840,BE21111037
2845,BE21111030
2850,BE21111005
2860,BE21212035
2861,BE21212035
2870,BE21212041
2880,BE21212007
2890,BE21212041
2900,BE21111040
2910,BE21111016
2920,BE21111022
2930,BE21111008
2940,BE21111044
2950,BE21111023
2960,BE21111009
2970,BE21111039
2980,BE21111055
2990,BE21111053
3000,BE24224062
3001,BE24224062
3010,BE24224062
3012,BE24224062
3018,BE24224062
3020,BE24224038
3040,BE24224045
3050,BE24224086
3051,BE24224086
3052,BE24224086
3053,BE24224086
3054,BE24224086
3060,BE24224009
3061,BE24224009
3070,BE24224055
3071,BE24224055
3078,BE24224055
3080,BE24224104
3090,BE24123062
3110,BE24224094
3111,BE24224094
3118,BE24224094
3120,BE24224109
3128,BE24224109
3130,BE24224007
3140,BE24224048
3150,BE24224033
3190,BE24224014
3191,BE24224014
3200,BE24224001
3201,BE24224001
3202,BE24224001
3210,BE24224066
3211,BE24224066
3212,BE24224066
3220,BE24224043
3221,BE24224043
3270,BE24224134
3271,BE24224134
3272,BE24224134
3290,BE24224020
3293,BE24224020
3294,BE24224020
3300,BE24224107
3320,BE24224041
3321,BE24224041
3350,BE24224133
3360,BE24224011
3370,BE24224016
3380,BE24224137
3381,BE24224137
3384,BE24224137
3390,BE24224135
3391,BE24224135
3400,BE24224059
3401,BE24224059
3404,BE24224059
3440,BE24224130
3450,BE24224028
3454,BE24224028
3460,BE24224008
3461,BE24224008
3470,BE24224054
3471,BE24224054
3472,BE24224054
3473,BE24224054
3500,BE22471072
3501,BE22471072
3510,BE22471072
3511,BE22471072
3512,BE22471072
3520,BE22471066
3530,BE22572039
3540,BE22471024
3545,BE22471020
3550,BE22471070
3560,BE22471037
3570,BE22373001
3580,BE22471004
3581,BE22471004
3582,BE22471004
3583,BE22471004
3590,BE22471011
3600,BE22471016
3620,BE22373042
3621,BE22373042
3630,BE22373107
3631,BE22373107
3640,BE22572018
3650,BE22572041
3660,BE22572042
3665,BE22471002
3668,BE22471002
3670,BE22572042
3680,BE22572021
3690,BE22471067
3700,BE22373111
3717,BE22373028
3720,BE22371072
3721,BE22371072
3722,BE22371072
3723,BE22371072
3724,BE22371072
3730,BE22373110
3732,BE22373110
3740,BE22373110
3742,BE22373110
3746,BE22373110
3770,BE22373066
3790,BE22373109
3791,BE22373109
3792,BE22373109
3793,BE22373109
3798,BE22373109
3800,BE22471053
3803,BE22471053
3806,BE22471053
3830,BE22373098
3831,BE22373098
3832,BE22373098
3840,BE22373111
3850,BE22471045
3870,BE22373022
3890,BE22471017
3891,BE22471017
3900,BE22572043
3910,BE22572043
3920,BE22572020
3930,BE22572037
3940,BE22572038
3941,BE22572038
3945,BE22471071
3950,BE22572003
3960,BE22572004
3970,BE22471034
3971,BE22471034
3980,BE22471071
3990,BE22572030
4000,BE33262063
4020,BE33262063
4030,BE33262063
4031,BE33262063
4032,BE33262063
4040,BE33262051
4041,BE33262051
4042,BE33262051
4050,BE33262022
4051,BE33262022
4052,BE33262022
4053,BE33262022
4100,BE33262096
4101,BE33262096
4102,BE33262096
4120,BE33262121
4121,BE33262121
4122,BE33262121
4130,BE33262032
4140,BE33262100
4141,BE33262100
4160,BE33161079
4161,BE33161079
4162,BE33161079
4163,BE33161079
4170,BE33262026
4171,BE33262026
4180,BE33161024
4181,BE33161024
4190,BE33161019
4210,BE33161010
4217,BE33161028
4218,BE33161028
4219,BE33464075
4250,BE33464029
4252,BE33464029
4253,BE33464029
4254,BE33464029
4257,BE33464008
4260,BE33464015
4261,BE33464015
4263,BE33464015
4280,BE33464034
4287,BE33464047
4300,BE33464074
4317,BE33464076
4340,BE33262006
4342,BE33262006
4347,BE33464025
4350,BE33464063
4351,BE33464063
4357,BE33464023
4360,BE33464056
4367,BE33464021
4400,BE33262120
4420,BE33262093
4430,BE33262003
4431,BE33262003
4432,BE33262003
4450,BE33262060
4451,BE33262060
4452,BE33262060
4453,BE33262060
4458,BE33262060
4460,BE33262118
4470,BE33464065
4480,BE33161080
4500,BE33161031
4520,BE33161072
4530,BE33161068
4537,BE33161063
4540,BE33161003
4550,BE33161043
4557,BE33161081
4560,BE33161012
4570,BE33161039
4577,BE33161041
4590,BE33161048
4600,BE33262108
4601,BE33262108
4602,BE33262108
4606,BE33262027
4607,BE33262027
4608,BE33262027
4610,BE33262015
4620,BE33262038
4621,BE33262038
4623,BE33262038
4624,BE33262038
4630,BE33262099
4631,BE33262099
4632,BE33262099
4633,BE33262099
4650,BE33563035
4651,BE33563035
4652,BE33563035
4653,BE33563035
4654,BE33563035
4670,BE33262119
4671,BE33262119
4672,BE33262119
4680,BE33262079
4681,BE33262079
4682,BE33262079
4683,BE33262079
4684,BE33262079
4690,BE33262011
4700,BE33663023
4701,BE33663023
4710,BE33663048
4711,BE33663048
4720,BE33663040
4721,BE33663040
4728,BE33663040
4730,BE33663061
4731,BE33663061
4750,BE33663013
4760,BE33663012
4761,BE33663012
4770,BE33563001
4771,BE33663001
4780,BE33663067
4782,BE33663067
4783,BE33663067
4784,BE33663067
4790,BE33663087
4791,BE33663087
4800,BE33563079
4801,BE33563079
4802,BE33563079
4820,BE33563020
4821,BE33563020
4830,BE33563046
4831,BE33563046
4834,BE33563046
4837,BE33563004
4840,BE33563084
4841,BE33563084
4845,BE33563038
4850,BE33563088
4851,BE33563088
4852,BE33563088
4860,BE33563058
4861,BE33563058
4870,BE33562122
4877,BE33563057
4880,BE33563003
4890,BE33563089
4900,BE33563072
4910,BE33563076
4920,BE33262009
4950,BE33563080
4960,BE33563049
4970,BE33563073
4980,BE33563086
4983,BE33563086
4987,BE33563075
4990,BE33563045
5000,BE35292094
5001,BE35292094
5002,BE35292094
5003,BE35292094
5004,BE35292094
5020,BE35292094
5021,BE35292094
5022,BE35292094
5024,BE35292094
5030,BE35292142
5031,BE35292142
5032,BE35292142
5060,BE35292137
5070,BE35292048
5080,BE35292141
5081,BE35292141
5100,BE35292094
5101,BE35292094
5140,BE35292114
5150,BE35292045
5170,BE35292101
5190,BE35292140
5300,BE35292003
5310,BE35292035
5330,BE35292006
5332,BE35292006
5333,BE35292006
5334,BE35292006
5336,BE35292006
5340,BE35292054
5350,BE35292097
5351,BE35292097
5352,BE35292097
5353,BE35292097
5354,BE35292097
5360,BE35191059
5361,BE35191059
5362,BE35191059
5363,BE35191059
5364,BE35191059
5370,BE35191064
5372,BE35191064
5374,BE35191064
5376,BE35191064
5377,BE35191120
5380,BE35292138
5500,BE35191034
5501,BE35191034
5502,BE35191034
5503,BE35191034
5504,BE35191034
5520,BE35191103
5521,BE35191103
5522,BE35191103
5523,BE35191103
5524,BE35191103
5530,BE35191141
5537,BE35191005
5540,BE35191142
5541,BE35191142
5542,BE35191142
5543,BE35191142
5544,BE35191142
5550,BE35191143
5555,BE35191015
5560,BE35191072
5561,BE35191072
5562,BE35191072
5563,BE35191072
5564,BE35191072
5570,BE35191013
5571,BE35191013
5572,BE35191013
5573,BE35191013
5574,BE35191013
5575,BE35191054
5576,BE35191013
5580,BE35191114
5590,BE35191030
5600,BE35393056
5620,BE35393022
5621,BE35393022
5630,BE35393010
5640,BE35292087
5641,BE35292087
5644,BE35292087
5646,BE35292087
5650,BE35393088
5651,BE35393088
5660,BE35393014
5670,BE35393090
5680,BE35393018
6000,BE32B52011
6001,BE32B52011
6010,BE32B52011
6020,BE32B52011
6030,BE32B52011
6031,BE32B52011
6032,BE32B52011
6040,BE32B52011
6041,BE32B52011
6042,BE32B52011
6043,BE32B52011
6044,BE32B52011
6060,BE32B52011
6061,BE32B52011
6110,BE32B52048
6111,BE32B52048
6120,BE32D56086
6140,BE32B52022
6141,BE32B52022
6142,BE32B52022
6150,BE32D56001
6180,BE32B52015
6181,BE32B52015
6182,BE32B52015
6183,BE32B52015
6200,BE32B52012
6210,BE32B52075
6211,BE32B52075
6220,BE32B52021
6221,BE32B52021
6222,BE32B52021
6223,BE32B52021
6224,BE32B52021
6230,BE32B52055
6238,BE32B52055
6240,BE32B52018
6250,BE32B52074
6280,BE32B52025
6440,BE32D56029
6441,BE32D56029
6460,BE32D56016
6461,BE32D56016
6462,BE32D56016
6463,BE32D56016
6464,BE32D56016
6470,BE32D56088
6500,BE32D56005
6511,BE32D56005
6530,BE32D56078
6531,BE32D56078
6532,BE32D56078
6533,BE32D56078
6534,BE32D56078
6536,BE32D56078
6540,BE32D56044
6542,BE32D56044
6543,BE32D56044
6560,BE32D56022
6567,BE32D56049
6590,BE32D56051
6591,BE32D56051
6592,BE32D56051
6593,BE32D56051
6594,BE32D56051
6596,BE32D56051
6600,BE34282003
6630,BE34181013
6637,BE34282009
6640,BE34282036
6642,BE34282036
6660,BE34282014
6661,BE34282014
6662,BE34282014
6663,BE34282014
6666,BE34282014
6670,BE34282037
6671,BE34282037
6672,BE34282037
6673,BE34282037
6674,BE34282037
6680,BE34282038
6681,BE34282038
6686,BE34282005
6687,BE34282005
6688,BE34282005
6690,BE34282032
6692,BE34282032
6698,BE34282032
6700,BE34181001
6704,BE34181001
6706,BE34181001
6717,BE34181003
6720,BE34585046
6721,BE34585046
6723,BE34585046
6724,BE34585046
6730,BE34585039
6740,BE34585009
6741,BE34585009
6742,BE34585009
6743,BE34585009
6747,BE34585034
6750,BE34585026
6760,BE34585045
6761,BE34585045
6762,BE34585045
6767,BE34585047
6769,BE34585024
6780,BE34181015
6781,BE34181015
6782,BE34181015
6790,BE34181004
6791,BE34181004
6792,BE34181004
6800,BE34484077
6810,BE34585007
6811,BE34585007
6812,BE34585007
6813,BE34585007
6820,BE34585011
6821,BE34585011
6823,BE34585011
6824,BE34585011
6830,BE34484010
6831,BE34484010
6832,BE34484010
6833,BE34484010
6834,BE34484010
6836,BE34484010
6838,BE34484010
6840,BE34484043
6850,BE34484050
6851,BE34484050
6852,BE34484050
6853,BE34484050
6856,BE34484050
6860,BE34484033
6870,BE34484059
6880,BE34484009
6887,BE34484029
6890,BE34484035
6900,BE34383034
6920,BE34484075
6921,BE34484075
6922,BE34484075
6924,BE34484075
6927,BE34484068
6929,BE34484016
6940,BE34383012
6941,BE34383012
6950,BE34383040
6951,BE34383040
6952,BE34383040
6953,BE34383040
6960,BE34383055
6970,BE34383049
6971,BE34383049
6972,BE34383049
6980,BE34383031
6982,BE34383031
6983,BE34383031
6984,BE34383031
6986,BE34383031
6987,BE34383044
6990,BE34383028
6997,BE34383013
7000,BE32353053
7011,BE32353053
7012,BE32353053
7020,BE32353053
7021,BE32353053
7022,BE32353053
7024,BE32353053
7030,BE32353053
7031,BE32353053
7032,BE32353053
7033,BE32353053
7034,BE32353053
7040,BE32353084
7041,BE32353084
7050,BE32353044
7060,BE32C55040
7061,BE32C55040
7062,BE32C55040
7063,BE32C55040
7070,BE32C55035
7080,BE32353028
7090,BE32C55004
7100,BE32955022
7110,BE32955022
7120,BE32956085
7130,BE32956011
7131,BE32956011
7133,BE32956011
7134,BE32956011
7140,BE32956087
7141,BE32956087
7160,BE32B52010
7170,BE32C52043
7180,BE32C52063
7181,BE32C52063
7190,BE32C55050
7191,BE32C55050
7300,BE32353014
7301,BE32353014
7320,BE32A51009
7321,BE32A51009
7322,BE32A51009
7330,BE32353070
7331,BE32353070
7332,BE32353070
7333,BE32353070
7334,BE32353070
7340,BE32353082
7350,BE32353039
7370,BE32353020
7380,BE32353068
7382,BE32353068
7387,BE32353083
7390,BE32353065
7500,BE32857081
7501,BE32857081
7502,BE32857081
7503,BE32857081
7504,BE32857081
7506,BE32857081
7520,BE32857081
7521,BE32857081
7522,BE32857081
7530,BE32857081
7531,BE32857081
7532,BE32857081
7533,BE32857081
7534,BE32857081
7536,BE32857081
7538,BE32857081
7540,BE32857081
7542,BE32857081
7543,BE32857081
7548,BE32857081
7600,BE32857064
7601,BE32857064
7602,BE32857064
7603,BE32857064
7604,BE32857064
7608,BE32857064
7610,BE32857072
7611,BE32857072
7618,BE32857072
7620,BE32857093
7621,BE32857093
7622,BE32857093
7623,BE32857093
7624,BE32857093
7640,BE32857003
7641,BE32857003
7642,BE32857003
7643,BE32857003
7700,BE32854007
7711,BE32854007
7712,BE32854007
7730,BE32857027
7740,BE32857062
7742,BE32857062
7743,BE32857062
7750,BE32857095
7760,BE32857018
7780,BE32854010
7781,BE32854010
7782,BE32854010
7783,BE32854010
7784,BE32854010
7800,BE32A51004
7801,BE32A51004
7802,BE32A51004
7803,BE32A51004
7804,BE32A51004
7810,BE32A51004
7811,BE32A51004
7812,BE32A51004
7822,BE32A51004
7823,BE32A51004
7830,BE32A55039
7850,BE32A55010
7860,BE32A55023
7861,BE32A55023
7862,BE32A55023
7863,BE32A55023
7864,BE32A55023
7866,BE32A55023
7870,BE32353046
7880,BE32A51019
7890,BE32A51017
7900,BE32857094
7901,BE32857094
7903,BE32857094
7904,BE32857094
7906,BE32857094
7910,BE32A51065
7911,BE32A51065
7912,BE32A51065
7940,BE32A51012
7941,BE32A51012
7942,BE32A51012
7943,BE32A51012
7950,BE32A51014
7951,BE32A51014
7970,BE32A51008
7971,BE32A51008
7972,BE32A51008
7973,BE32A51008
8000,BE25131005
8020,BE25131022
8200,BE25131005
8210,BE25131040
8211,BE25131040
8300,BE25131043
8301,BE25131043
8310,BE25131005
8340,BE25131006
8370,BE25131004
8377,BE25131042
8380,BE25131005
8400,BE25535013
8420,BE25535029
8421,BE25535029
8430,BE25535011
8431,BE25535011
8432,BE25535011
8433,BE25535011
8434,BE25535011
8450,BE25535002
8460,BE25535014
8470,BE25535005
8480,BE25535006
8490,BE25131012
8500,BE25434022
8501,BE25434022
8510,BE25434022
8511,BE25434022
8520,BE25434023
8530,BE25434013
8531,BE25434013
8540,BE25434009
8550,BE25434042
8551,BE25434042
8552,BE25434042
8553,BE25434042
8554,BE25434042
8560,BE25434041
8570,BE25434002
8572,BE25434002
8573,BE25434002
8580,BE25434003
8581,BE25434003
8582,BE25434003
8583,BE25434003
8587,BE32834043
8600,BE25232003
8610,BE25232011
8620,BE25838016
8630,BE25838025
8640,BE25333041
8647,BE25232030
8650,BE25232006
8660,BE25838008
8670,BE25838014
8680,BE25232010
8690,BE25838002
8691,BE25838002
8700,BE25737022
8710,BE25437017
8720,BE25737002
8730,BE25131003
8740,BE25737011
8750,BE25737021
8755,BE25737021
8760,BE25737022
8770,BE25636007
8780,BE25737010
8790,BE25434040
8791,BE25434040
8792,BE25434040
8793,BE25434040
8800,BE25636015
8810,BE25636011
8820,BE25131033
8830,BE25636006
8840,BE25636019
8850,BE25737020
8851,BE25737020
8860,BE25434025
8870,BE25636008
8880,BE25636010
8890,BE25636012
8900,BE25333011
8902,BE25333011
8904,BE25333011
8906,BE25333011
8908,BE25333011
8920,BE25333040
8930,BE25434027
8940,BE25333029
8950,BE25333039
8951,BE25333039
8952,BE25333039
8953,BE25333039
8954,BE25333039
8956,BE25333039
8957,BE25333016
8958,BE25333039
8970,BE25333021
8972,BE25833021
8978,BE25333021
8980,BE25333037
9000,BE23444021
9030,BE23444021
9031,BE23444021
9032,BE23444021
9040,BE23444021
9041,BE23444021
9042,BE23444021
9050,BE23444021
9051,BE23444021
9052,BE23444021
9060,BE23343018
9070,BE23444013
9080,BE23444087
9090,BE23444088
9100,BE23646021
9111,BE23646021
9112,BE23646021
9120,BE23646030
9130,BE23646030
9140,BE23646025
9150,BE23646030
9160,BE23646029
9170,BE23646020
9180,BE23446029
9185,BE23444087
9190,BE23646024
9200,BE23242006
9220,BE23242008
9230,BE23242025
9240,BE23242028
9250,BE23242023
9255,BE23242004
9260,BE23242026
9270,BE23242010
9280,BE23242011
9290,BE23242003
9300,BE23141002
9308,BE23141002
9310,BE23141002
9320,BE23141002
9340,BE23141034
9400,BE23141048
9401,BE23141048
9402,BE23141048
9403,BE23141048
9404,BE23141048
9406,BE23141048
9420,BE23141082
9450,BE23141024
9451,BE23141024
9470,BE23141011
9472,BE23141011
9473,BE23141011
9500,BE23141018
9506,BE23141018
9520,BE23141063
9521,BE23141063
9550,BE23141027
9551,BE23141027
9552,BE23141027
9570,BE23545063
9571,BE23545063
9572,BE23545063
9600,BE23545041
9620,BE23141081
9630,BE23545065
9636,BE23545065
9660,BE23545059
9661,BE23545059
9667,BE23545062
9680,BE23545064
9681,BE23545064
9688,BE23545064
9690,BE23545060
9700,BE23545035
9750,BE23545068
9770,BE23545068
9771,BE23545068
9772,BE23545068
9790,BE23545061
9800,BE23444083
9810,BE23444086
9820,BE23444088
9830,BE23444064
9831,BE23444064
9840,BE23444086
9850,BE23444083
9860,BE23444052
9870,BE23444081
9880,BE23444084
9881,BE23444084
9890,BE23444020
9900,BE23343005
9910,BE23444084
9920,BE23444085
9921,BE23444085
9930,BE23444085
9931,BE23444085
9932,BE23444085
9940,BE23444019
9950,BE23444085
9960,BE23343002
9961,BE23343002
9968,BE23343002
9970,BE23343007
9971,BE23343007
9980,BE23343014
9981,BE23343014
9982,BE23343014
9988,BE23343014
9990,BE23343010
9991,BE23343010
9992,BE23343010
