nuts;lau;gemeente
BE100;21001;Anderlecht
BE100;21002;Oudergem
BE100;21003;Sint-Agatha-Berchem
BE100;21004;Brussel
BE100;21005;Etterbeek
BE100;21006;Evere
BE100;21007;Vorst (Brussel-Hoofdstad)
BE100;21008;Ganshoren
BE100;21009;Elsene
BE100;21010;Jette
BE100;21011;Koekelberg
BE100;21012;Sint-Jans-Molenbeek
BE100;21013;Sint-Gillis
BE100;21014;Sint-Joost-ten-Node
BE100;21015;Schaarbeek
BE100;21016;Ukkel
BE100;21017;Watermaal-Bosvoorde
BE100;21018;Sint-Lambrechts-Woluwe
BE100;21019;Sint-Pieters-Woluwe
BE211;11001;Aartselaar
BE211;11002;Antwerpen
BE211;11004;Boechout
BE211;11005;Boom
BE211;11007;Borsbeek
BE211;11008;Brasschaat
BE211;11009;Brecht
BE211;11013;Edegem
BE211;11016;Essen
BE211;11018;Hemiksem
BE211;11021;Hove (Antwerpen)
BE211;11022;Kalmthout
BE211;11023;Kapellen (Antwerpen)
BE211;11024;Kontich
BE211;11025;Lint
BE211;11029;Mortsel
BE211;11030;Niel
BE211;11035;Ranst
BE211;11037;Rumst
BE211;11038;Schelle
BE211;11039;Schilde
BE211;11040;Schoten
BE211;11044;Stabroek
BE211;11050;Wijnegem
BE211;11052;Wommelgem
BE211;11053;Wuustwezel
BE211;11054;Zandhoven
BE211;11055;Zoersel
BE211;11056;Zwijndrecht
BE211;11057;Malle
BE212;12002;Berlaar
BE212;12005;Bonheiden
BE212;12007;Bornem
BE212;12009;Duffel
BE212;12014;Heist-op-den-Berg
BE212;12021;Lier
BE212;12025;Mechelen
BE212;12026;Nijlen
BE212;12029;Putte
BE212;12035;Sint-Katelijne-Waver
BE212;12040;Willebroek
BE212;12041;Puurs-Sint-Amands
BE213;13001;Arendonk
BE213;13002;Baarle-Hertog
BE213;13003;Balen
BE213;13004;Beerse
BE213;13006;Dessel
BE213;13008;Geel
BE213;13010;Grobbendonk
BE213;13011;Herentals
BE213;13012;Herenthout
BE213;13013;Herselt
BE213;13014;Hoogstraten
BE213;13016;Hulshout
BE213;13017;Kasterlee
BE213;13019;Lille
BE213;13021;Meerhout
BE213;13023;Merksplas
BE213;13025;Mol
BE213;13029;Olen
BE213;13031;Oud-Turnhout
BE213;13035;Ravels
BE213;13036;Retie
BE213;13037;Rijkevorsel
BE213;13040;Turnhout
BE213;13044;Vorselaar
BE213;13046;Vosselaar
BE213;13049;Westerlo
BE213;13053;Laakdal
BE223;73001;Alken
BE223;73006;Bilzen
BE223;73009;Borgloon
BE223;73022;Heers
BE223;73028;Herstappe
BE223;73032;Hoeselt
BE223;73040;Kortessem
BE223;73042;Lanaken
BE223;73066;Riemst
BE223;73083;Tongeren
BE223;73098;Wellen
BE223;73107;Maasmechelen
BE223;73109;Voeren
BE224;71002;As
BE224;71004;Beringen
BE224;71011;Diepenbeek
BE224;71016;Genk
BE224;71017;Gingelom
BE224;71020;Halen
BE224;71022;Hasselt
BE224;71024;Herk-de-Stad
BE224;71034;Leopoldsburg
BE224;71037;Lummen
BE224;71045;Nieuwerkerken (Hasselt)
BE224;71053;Sint-Truiden
BE224;71057;Tessenderlo
BE224;71066;Zonhoven
BE224;71067;Zutendaal
BE224;71069;Ham
BE224;71070;Heusden-Zolder
BE225;72003;Bocholt
BE225;72004;Bree
BE225;72018;Kinrooi
BE225;72020;Lommel
BE225;72021;Maaseik
BE225;72030;Peer
BE225;72037;Hamont-Achel
BE225;72038;Hechtel-Eksel
BE225;72039;Houthalen-Helchteren
BE225;72041;Dilsen-Stokkem
BE225;72042;Oudsbergen
BE225;72043;Pelt
BE231;41002;Aalst (Aalst)
BE231;41011;Denderleeuw
BE231;41018;Geraardsbergen
BE231;41024;Haaltert
BE231;41027;Herzele
BE231;41034;Lede
BE231;41048;Ninove
BE231;41063;Sint-Lievens-Houtem
BE231;41081;Zottegem
BE231;41082;Erpe-Mere
BE232;42003;Berlare
BE232;42004;Buggenhout
BE232;42006;Dendermonde
BE232;42008;Hamme (Dendermonde)
BE232;42010;Laarne
BE232;42011;Lebbeke
BE232;42023;Waasmunster
BE232;42025;Wetteren
BE232;42026;Wichelen
BE232;42028;Zele
BE233;43002;Assenede
BE233;43005;Eeklo
BE233;43007;Kaprijke
BE233;43010;Maldegem
BE233;43014;Sint-Laureins
BE233;43018;Zelzate
BE234;44012;De Pinte
BE234;44013;Destelbergen
BE234;44019;Evergem
BE234;44020;Gavere
BE234;44021;Gent
BE234;44034;Lochristi
BE234;44040;Melle
BE234;44043;Merelbeke
BE234;44045;Moerbeke (Gent)
BE234;44048;Nazareth
BE234;44052;Oosterzele
BE234;44064;Sint-Martens-Latem
BE234;44073;Wachtebeke
BE234;44081;Zulte
BE234;44083;Deinze
BE234;44084;Aalter
BE234;44085;Lievegem
BE235;45035;Oudenaarde
BE235;45041;Ronse
BE235;45059;Brakel
BE235;45060;Kluisbergen
BE235;45061;Wortegem-Petegem
BE235;45062;Horebeke
BE235;45063;Lierde
BE235;45064;Maarkedal
BE235;45065;Zwalm
BE235;45068;Kruisem
BE236;46003;Beveren (Sint-Niklaas)
BE236;46013;Kruibeke
BE236;46014;Lokeren
BE236;46020;Sint-Gillis-Waas
BE236;46021;Sint-Niklaas (Sint-Niklaas)
BE236;46024;Stekene
BE236;46025;Temse
BE241;23002;Asse
BE241;23003;Beersel
BE241;23009;Bever
BE241;23016;Dilbeek
BE241;23023;Galmaarden
BE241;23024;Gooik
BE241;23025;Grimbergen
BE241;23027;Halle (Halle-Vilvoorde)
BE241;23032;Herne
BE241;23033;Hoeilaart
BE241;23038;Kampenhout
BE241;23039;Kapelle-op-den-Bos
BE241;23044;Liedekerke
BE241;23045;Londerzeel
BE241;23047;Machelen (Halle-Vilvoorde)
BE241;23050;Meise
BE241;23052;Merchtem
BE241;23060;Opwijk
BE241;23062;Overijse
BE241;23064;Pepingen
BE241;23077;Sint-Pieters-Leeuw
BE241;23081;Steenokkerzeel
BE241;23086;Ternat
BE241;23088;Vilvoorde
BE241;23094;Zaventem
BE241;23096;Zemst
BE241;23097;Roosdaal
BE241;23098;Drogenbos
BE241;23099;Kraainem
BE241;23100;Linkebeek
BE241;23101;Sint-Genesius-Rode
BE241;23102;Wemmel
BE241;23103;Wezembeek-Oppem
BE241;23104;Lennik
BE241;23105;Affligem
BE242;24001;Aarschot
BE242;24007;Begijnendijk
BE242;24008;Bekkevoort
BE242;24009;Bertem
BE242;24011;Bierbeek
BE242;24014;Boortmeerbeek
BE242;24016;Boutersem
BE242;24020;Diest
BE242;24028;Geetbets
BE242;24033;Haacht
BE242;24038;Herent
BE242;24041;Hoegaarden
BE242;24043;Holsbeek
BE242;24045;Huldenberg
BE242;24048;Keerbergen
BE242;24054;Kortenaken
BE242;24055;Kortenberg
BE242;24059;Landen
BE242;24062;Leuven
BE242;24066;Lubbeek
BE242;24086;Oud-Heverlee
BE242;24094;Rotselaar
BE242;24104;Tervuren
BE242;24107;Tienen
BE242;24109;Tremelo
BE242;24130;Zoutleeuw
BE242;24133;Linter
BE242;24134;Scherpenheuvel-Zichem
BE242;24135;Tielt-Winge
BE242;24137;Glabbeek
BE251;31003;Beernem
BE251;31004;Blankenberge
BE251;31005;Brugge
BE251;31006;Damme
BE251;31012;Jabbeke
BE251;31022;Oostkamp
BE251;31033;Torhout
BE251;31040;Zedelgem
BE251;31042;Zuienkerke
BE251;31043;Knokke-Heist
BE252;32003;Diksmuide
BE252;32006;Houthulst
BE252;32010;Koekelare
BE252;32011;Kortemark
BE252;32030;Lo-Reninge
BE253;33011;Ieper
BE253;33016;Mesen
BE253;33021;Poperinge
BE253;33029;Wervik
BE253;33037;Zonnebeke
BE253;33039;Heuvelland
BE253;33040;Langemark-Poelkapelle
BE253;33041;Vleteren
BE254;34002;Anzegem
BE254;34003;Avelgem
BE254;34009;Deerlijk
BE254;34013;Harelbeke
BE254;34022;Kortrijk
BE254;34023;Kuurne
BE254;34025;Lendelede
BE254;34027;Menen
BE254;34040;Waregem
BE254;34041;Wevelgem
BE254;34042;Zwevegem
BE254;34043;Spiere-Helkijn
BE255;35002;Bredene
BE255;35005;Gistel
BE255;35006;Ichtegem
BE255;35011;Middelkerke
BE255;35013;Oostende
BE255;35014;Oudenburg
BE255;35029;De Haan
BE256;36006;Hooglede
BE256;36007;Ingelmunster
BE256;36008;Izegem
BE256;36010;Ledegem
BE256;36011;Lichtervelde
BE256;36012;Moorslede
BE256;36015;Roeselare
BE256;36019;Staden
BE257;37002;Dentergem
BE257;37007;Meulebeke
BE257;37010;Oostrozebeke
BE257;37011;Pittem
BE257;37012;Ruiselede
BE257;37015;Tielt (Tielt)
BE257;37017;Wielsbeke
BE257;37018;Wingene
BE257;37020;Ardooie
BE258;38002;Alveringem
BE258;38008;De Panne
BE258;38014;Koksijde
BE258;38016;Nieuwpoort
BE258;38025;Veurne
